TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
org.jfree.chart.plot.XYPlot,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7281467368834005,5866,4033
org.jfree.chart.plot.CategoryPlot,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7283424061659647,5224,3617
org.jfree.chart.plot.ThermometerPlot,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8283505798418359,1895,1643
org.jfree.chart.plot.PolarPlot,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7948244215840966,2703,2136
org.jfree.chart.plot.RingPlot,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6376835407346573,838,474
org.jfree.chart.plot.Plot,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7923542261809645,1542,1237
org.jfree.chart.plot.CombinedRangeXYPlot,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7110568405395992,974,662
org.jfree.chart.plot.CombinedDomainXYPlot,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7333748079237118,1037,734
org.jfree.chart.plot.CombinedDomainCategoryPlot,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7518176277398774,943,697
org.jfree.chart.plot.MeterPlot,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8317819414440821,1609,1416
